age_n,mar_n,sex_n,chi_n,ucbs,ist,urb_n,edu_n,med_n,wor_n,sec_n,occ_n,foc_n,hom_n,iin_n,hin_n,srh_n,sto_n,chr_n,cov_n,int_n,dan_n,gov_n,hyg_n,cre_n,sur1_n,sur2_n,sur3_n,sur4_n,sur5_n,sur6_n,sur7_n,sur8_n,sur9_n,sur10_n,sur11_n,sur12_n,sur13_n,sur14_n,sur15_n,sur16_n,sur17_n,sur18_n,sur19_n,sur20_n,surA,surAD,sur21_n,sur22_n,sur23_n,sur24_n,sur25_n,sur26_n,sur27_n,sur28_n,sur29_n,sur30_n,surB,surBD
2,1,1,0,2,2,2,6,6.0,1,3,2,2,1.0,1,1,3,0,1,0,1,4,3,2,1,3,3,2,1,3,2,2,2,1,3,3,1,1,1,2,3,1,1,2,3,40,1,0,0,0,0,0,0,4,0,2,0,6,1
2,2,1,0,2,2,2,5,0.0,7,6,0,9,2.0,3,3,2,0,0,0,3,2,2,2,4,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,32,1,2,0,3,2,3,2,2,2,2,2,20,0
2,1,2,0,2,2,2,5,5.0,6,3,2,3,3.0,4,4,1,1,0,0,2,2,4,2,2,2,2,3,2,2,2,2,1,2,2,3,3,2,2,1,2,2,2,1,2,40,1,1,1,1,3,1,1,1,2,2,2,15,1
2,2,2,0,2,2,2,5,2.0,8,3,4,2,3.0,3,3,1,1,0,0,5,1,5,2,4,3,2,1,1,4,2,2,4,2,3,3,2,2,2,3,3,2,2,3,3,49,0,1,1,2,2,1,1,1,1,1,0,11,1
2,2,2,0,2,2,2,5,0.0,8,6,0,9,2.0,3,3,3,1,0,0,3,3,2,1,5,4,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,28,1,1,2,1,1,1,1,1,1,0,1,10,1
2,1,1,0,2,2,1,6,1.0,8,7,0,7,2.0,4,4,3,0,0,0,4,3,3,1,4,3,3,1,1,3,1,2,2,1,3,3,1,1,1,3,3,1,1,1,3,38,1,2,2,1,1,2,2,2,1,2,1,16,1
2,2,1,0,2,2,2,5,3.0,8,7,0,2,2.0,4,4,1,0,0,0,3,4,1,3,3,3,3,1,1,1,1,1,3,1,3,2,2,1,1,3,3,1,1,3,3,38,1,4,0,4,1,4,1,4,1,3,1,23,0
2,1,1,0,2,2,2,5,1.0,8,7,0,7,2.0,3,3,2,0,0,0,3,2,3,2,3,2,2,2,3,2,1,3,1,2,1,2,2,2,2,1,1,3,2,1,1,36,1,1,1,1,1,0,1,1,1,1,1,9,1
2,1,1,0,2,2,1,5,4.0,8,7,0,5,2.0,4,3,1,0,0,0,3,2,4,3,3,3,2,1,1,2,1,2,2,2,2,3,1,1,1,2,3,1,1,2,2,35,1,0,0,0,0,2,0,2,2,2,2,10,1
3,2,1,0,2,2,1,5,0.0,8,6,3,3,3.0,3,3,3,1,1,0,3,2,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,1,1,3,2,1,1,38,1,1,1,0,1,1,0,0,1,0,1,6,1
2,1,1,0,2,2,2,6,0.0,8,6,4,9,3.0,3,6,2,1,0,0,2,2,2,2,2,3,2,1,1,2,2,2,2,3,2,2,1,1,2,2,2,2,1,1,2,36,1,0,1,0,1,2,2,3,2,3,1,15,1
2,2,2,0,2,2,1,6,2.0,7,3,2,4,3.0,5,4,1,0,1,0,3,2,5,2,2,2,3,1,1,2,1,4,2,2,2,3,1,1,1,1,1,2,1,1,1,33,1,0,0,0,1,0,1,0,0,1,1,4,1
2,1,1,0,1,2,2,6,6.0,9,7,1,2,2.0,4,4,1,0,1,0,4,4,2,3,5,4,4,1,1,2,4,1,3,1,3,4,1,1,1,3,2,1,1,3,1,42,1,0,0,0,0,0,0,0,0,0,0,0,1
3,2,1,0,1,2,2,5,1.0,7,6,9,9,2.0,1,3,1,1,1,0,2,1,5,1,2,3,2,1,1,2,2,2,1,3,2,3,1,1,1,1,1,1,1,2,2,33,1,4,3,2,1,1,2,2,3,3,2,23,0
2,2,1,0,2,2,2,5,2.0,8,6,0,3,2.0,4,3,2,1,0,0,2,2,4,1,2,3,3,1,1,3,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,37,1,0,0,0,1,1,0,0,0,1,0,3,1
